Id,Nama,Gambar,Lokasi,Alamat,Operasional,Makanan,Masakan,Halal,Fasilitas
47,Rumah Makan Laksana,"https://ik.imagekit.io/tvlk/cul-asset/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/tvlk-prod-cul-assets/culinary/asset/REST_IMG-1280x720-FIT_AND_TRIM-f4ce06cdadcbf4a9c45abf0e92d4a8d1.jpeg?tr=q-40,c-at_max,w-1080,h-1920&amp;_src=imagekit",Kiaracondong,"Jl. Soekarno - Hatta No. 395, Bandung",10.00 - 22.00,Soto: Ayam Goreng: Mie Goreng: Jajanan Pasar: Makanan Pedas,Sunda,?,Bawa Pulang: Wifi: Reservasi: Kartu Kredit: Kursi Bayi: Kursi Roda: Area Merokok
48,Amanda Brownies Kukus,"https://ik.imagekit.io/tvlk/cul-asset/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/tvlk-prod-cul-assets/culinary/asset/REST_IMG-960x720-FIT_AND_TRIM-457ed398c2c608a1404cd19a13355914.jpeg?tr=q-40,c-at_max,w-1080,h-1920&amp;_src=imagekit",Kiaracondong,"Jl. Terusan Jakarta No. 6, Babakan Surabaya, Kiaracondong, Bandung",07.00 - 21.00,Kue: Dessert,?,?,Bawa Pulang: Parkir
49,La'rissa,"https://ik.imagekit.io/tvlk/cul-asset/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/tvlk-prod-cul-assets/culinary/asset/REST_IMG-720x1170-FIT_AND_TRIM-37b39aa5a13dd373e5be65b7429e1a89.jpeg?tr=q-40,c-at_max,w-720,h-1280&amp;_src=imagekit",Kiaracondong,"Jl. Terusan Jakarta No. 77I, Bandung",06.00 - 20.45,Kue: Dessert,?,?,Bawa Pulang
50,RM. Sugih Priangan,"https://ik.imagekit.io/tvlk/cul-asset/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/tvlk-prod-cul-assets/culinary/asset/REST_399-720x720-FIT_AND_TRIM-8cca98285da658729ad225fc9a35c727.jpeg?tr=q-40,c-at_max,w-720,h-1280&amp;_src=imagekit",Kiaracondong,"Jl. Terusan Jakarta No. 48, Babakan Surabaya, Kiaracondong, Bandung",08.00 - 22.00,Ayam Goreng: Ikan Goreng: Nasi Timbel,Indonesia,?,Bawa Pulang: Parkir: Wifi: Reservasi: Kursi Bayi: Area Merokok
51,Warung Ngopi 821,"https://ik.imagekit.io/tvlk/cul-asset/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/tvlk-prod-cul-assets/culinary/asset/REST_IMG-1280x720-FIT_AND_TRIM-5f6975ba32790beb288c122d953ea0d6.jpeg?tr=q-40,c-at_max,w-1080,h-1920&amp;_src=imagekit",Kiaracondong,"Jl. Jendral Ahmad Yani No. 821, Padasuka, Kiaracondong, Bandung",10.00 - 22.00,Pizza: Minuman: Kopi: Teh,?,?,Bawa Pulang: Parkir: Wifi: Reservasi: Area Merokok
52,Fat Oppa Korean BBQ,"https://ik.imagekit.io/tvlk/cul-asset/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/tvlk-prod-cul-assets/culinary/asset/REST_IMG-705x1280-FIT_AND_TRIM-08535a9a033abed6dc4c61d03f892901.jpeg?tr=q-40,c-at_max,w-720,h-1280&amp;_src=imagekit",Kiaracondong,"Jl. Terusan Jakarta No.43, Bandung",11.00 - 22.00,Bulgogi: Topokki,Jepang,?,Bawa Pulang
53,Juragan Pempek,"https://ik.imagekit.io/tvlk/cul-asset/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/tvlk-prod-cul-assets/culinary/asset/REST_201-720x960-FIT_AND_TRIM-b6d5778f1b14cca5642dad3c1865731e.jpeg?tr=q-40,c-at_max,w-720,h-1280&amp;_src=imagekit",Prama Toserba,"Prama Toserba, Lantai 2 Jl. Babakan Sari 1 No.119, Babakan Sari, Kiaracondong,Bandung",10.00 - 21.00,Pempek,Palembang,?,Bawa Pulang
54,Teh Manis Cafe,"https://ik.imagekit.io/tvlk/cul-asset/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/tvlk-prod-cul-assets/culinary/asset/REST_IMG-1280x720-FIT_AND_TRIM-a34484945e243c14a1edba23a85b4620.jpeg?tr=q-40,c-at_max,w-1080,h-1920&amp;_src=imagekit",Kiaracondong,"Jl. Terusan Gatot Subroto No. 495, Kebun Kangkung, Kiaracondong, Bandung",11.00 - 23.00,Nasi Campur: Teh: Mie Goreng: Roti Bakar,Indonesia,?,Bawa Pulang: Parkir: Wifi
55,Baso Tahu Aroma,"https://ik.imagekit.io/tvlk/cul-asset/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/tvlk-prod-cul-assets/culinary/asset/REST_IMG-1162x720-FIT_AND_TRIM-b3f0d0e11b3c1d6ab72de224c7854648.jpeg?tr=q-40,c-at_max,w-1080,h-1920&amp;_src=imagekit",Lucky Square,"Lucky Square, Lantai 2, Food Corner, Jl. Terusan Jakarta No. 2, Babakan Surabaya, Kiaracondong, Bandung",10.00 - 22.00,Siomay: Bakso,Indonesia,?,Bawa Pulang: Parkir
56,Mechanic Coffee,"https://ik.imagekit.io/tvlk/cul-asset/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/tvlk-prod-cul-assets/culinary/asset/REST_IMG-1280x720-FIT_AND_TRIM-cf115c54bda7ec45ecae3d85014ce343.jpeg?tr=q-40,c-at_max,w-1080,h-1920&amp;_src=imagekit",Kiaracondong,"Jl. Babakan Sari 1 No.4, Babakan Sari, Kiaracondong, Bandung",09.00 - 21.00,Minuman: Kopi: Teh,?,?,Bawa Pulang: Parkir: Wifi: Area Merokok
57,Cheese Chicken,"https://ik.imagekit.io/tvlk/cul-asset/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/tvlk-prod-cul-assets/culinary/asset/REST_IMG-1280x720-FIT_AND_TRIM-7c9d1ec49dea0865e24ae2c44d64248d.jpeg?tr=q-40,c-at_max,w-1080,h-1920&amp;_src=imagekit",Kiaracondong,"Jl. Purwakarta No.14, Babakan Surabaya, Kiaracondong, Bandung",08.00 - 21.00,Ayam Goreng Tepung,Barat,?,Bawa Pulang: Parkir: Wifi
58,Martabak Sakura 168,"https://ik.imagekit.io/tvlk/cul-asset/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/tvlk-prod-cul-assets/culinary/asset/REST_IMG-960x720-FIT_AND_TRIM-615bc2a6bcf5d16e0fe2c6b372f637f2.jpeg?tr=q-40,c-at_max,w-1080,h-1920&amp;_src=imagekit",Kiaracondong,"Jl. Ibrahim Adjie No. 250, Kebun Kangkung, Kiaracondong, Bandung",09.00 - 22.15,Dessert: Martabak,?,?,Bawa Pulang: Parkir
59,Kedai Coger BlazBluz,"https://ik.imagekit.io/tvlk/cul-asset/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/tvlk-prod-cul-assets/culinary/asset/REST_IMG-720x1280-FIT_AND_TRIM-86837b3c9160da3ff56869891c199584.jpeg?tr=q-40,c-at_max,w-720,h-1280&amp;_src=imagekit",Kiaracondong,"l. Babakan Sari 1 No.11, Babakan Sari, Kiaracondong, Bandung",13.00 - 23.00,Minuman: Kopi: Teh,?,?,Bawa Pulang: Parkir: Wifi: Reservasi: Area Merokok
60,Kabobs,"https://ik.imagekit.io/tvlk/cul-asset/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/tvlk-prod-cul-assets/culinary/asset/REST_IMG-1280x720-FIT_AND_TRIM-afb1cec77f5b2f1ba754b92594ccf5ac.jpeg?tr=q-40,c-at_max,w-1080,h-1920&amp;_src=imagekit",Kiaracondong,"Jl. Ibrahim Adjie No. 372A, Binong, Batununggal, Bandung",10.00 - 22.00,Kebab,Turki,?,Bawa Pulang: Parkir: Wifi
61,Mana Cafe,"https://ik.imagekit.io/tvlk/cul-asset/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/tvlk-prod-cul-assets/culinary/asset/REST_P_2-960x720-FIT_AND_TRIM-e002ea06dbcdf81b8dc1d47f30c944ce.jpeg?tr=q-40,c-at_max,w-1080,h-1920&amp;_src=imagekit",Dago,"Jl. Cibengang No. 17, Bandung",14.00 - 21.00,Ayam Goreng: Bakso: Nasi Goreng: Kentang Goreng: Kopi: Teh,Indonesia,Ya,Bawa Pulang: Parkir: Wifi: Reservasi: Area Merokok
62,Yagami Ramen House,"https://ik.imagekit.io/tvlk/cul-asset/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/tvlk-prod-cul-assets/culinary/asset/REST_202-960x720-FIT_AND_TRIM-4eab2c6c40c51c0251083bdacd81b2fc.jpeg?tr=q-40,c-at_max,w-1080,h-1920&amp;_src=imagekit",Coblong,"Jl. Ir H Djuanda No 185, Dago, Coblong, Bandung",10.00 - 22.00,Ramen,Asia,?,Bawa Pulang: Parkir
63,The Harvest,"https://ik.imagekit.io/tvlk/ugc-review/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/tvlk-prod-ugc-photo/REVIEW/17432966_REVIEW_1588073669904_6a6d94c4abd557ef?tr=q-40,c-at_max,w-720,h-1280&amp;_src=imagekit",Dago,"Jl. Ir. H. Djuanda No. 15, Bandung",08.00 - 22.00,Kue: Dessert,?,?,Bawa Pulang: Parkir: Kartu Kredit
64,District Cafe,"https://ik.imagekit.io/tvlk/cul-asset/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/tvlk-prod-cul-assets/culinary/asset/REST_6_2-960x720-FIT_AND_TRIM-f07de12439d6e8753deb6d075bd27c68.jpeg?tr=q-40,c-at_max,w-1080,h-1920&amp;_src=imagekit",Dago Atas,"l. Ir. H. Juanda No.339, Bandung",11.00 - 00.00,Kopi: Teh: Es Krim,Indonesia,?,Bawa Pulang
65,Swiss Kitchen at Swiss-Belresort,"https://ik.imagekit.io/tvlk/cul-asset/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/tvlk-prod-cul-assets/culinary/asset/REST_202-960x720-FIT_AND_TRIM-32b26a0ebcc6b7db2855482e91063249.jpeg?tr=q-40,c-at_max,w-1080,h-1920&amp;_src=imagekit",Dago Atas,"Swiss-Belresort Dago Heritage, Lantai Lobby, Jl. Lapangan Golf Dago Atas No. 78, Cigadung, Cibeunying Kaler, Bandung",06.00 - 22.00,Sushi: Mac and Cheese,Barat: Jepang,?,Bawa Pulang: Parkir: Wifi: Reservasi: Kartu Kredit: Kursi Bayi: Area Merokok
66,Warung Pasta,"https://ik.imagekit.io/tvlk/cul-asset/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/tvlk-prod-cul-assets/culinary/asset/REST_3_2-960x720-FIT_AND_TRIM-8898b7831bcf77b78ef855ff3f2e9a40.jpeg?tr=q-40,c-at_max,w-1080,h-1920&amp;_src=imagekit",Dago,"Jl. Ganeca No.4, Bandung",07.00 - 23.00,Pizza: Pasta,Italia,?,Bawa Pulang: Parkir: Reservasi: Kartu Kredit: Area Merokok
67,Coco Rico,"https://ik.imagekit.io/tvlk/cul-asset/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/tvlk-prod-cul-assets/culinary/asset/REST_BF2-720x901-FIT_AND_TRIM-85ff1dd2fd7587f52e2f71a5b3df43c2.jpeg?tr=q-40,c-at_max,w-720,h-1280&amp;_src=imagekit",Dago Atas,"Jl. Bukit Pakar Timur No. 19, Bandung",09.00 - 23.00,BBQ: Ayam Goreng: Nasi Goreng: Steak: Pasta,Barat,?,Bawa Pulang: Parkir: Wifi: Reservasi: Kartu Kredit: Kursi Roda: Area Merokok
68,Sierra Cafe & Lounge,"https://ik.imagekit.io/tvlk/ugc-review/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/tvlk-prod-ugc-photo/REVIEW/228730.ASSET.95080?tr=q-40,c-at_max,w-720,h-1280&amp;_src=imagekit",Dago Atas,"Jl. Bukit Pakar No. 33, Bandung",15.00 - 21.00,Iga: Ayam Goreng: Daging: Pasta: Nasi: Sup,Asia: Barat,?,Bawa Pulang: Reservasi
69,The Parlor,"https://ik.imagekit.io/tvlk/cul-asset/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/tvlk-prod-cul-assets/culinary/asset/REST_IMG-720x960-FIT_AND_TRIM-eb39a27f7399f4e63c444943900a34a1.jpeg?tr=q-40,c-at_max,w-720,h-1280&amp;_src=imagekit",Dago Atas,"Jl. Raya Ranca Kendal Luhur No.9, Gerbang Dago Resort Dago Atas, Bandung",13.00 - 21.00,Rice Bowl: Ayam Goreng: Steak: Salad,Asia: Barat: Indonesia,?,Bawa Pulang: Parkir: Wifi: Kartu Kredit: Kursi Roda: Area Merokok
70,The Peak Connoisseurs at Swissbell,"https://ik.imagekit.io/tvlk/cul-asset/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/tvlk-prod-cul-assets/culinary/asset/REST_IMG-1134x720-FIT_AND_TRIM-2d9e28334c261446a803eef6ec374f87.jpeg?tr=q-40,c-at_max,w-1080,h-1920&amp;_src=imagekit",Resort Dago,"Swissbell-Resort Dago, Jl. Raya Golf Dago No.78, Bandung",10.00 - 23.59,Minuman: Wine: Soju: Bir,?,?,Bawa Pulang: Kartu Kredit
71,Cafe D'Pakar Bandung,"https://ik.imagekit.io/tvlk/cul-asset/C8Kj5-dCnE75BMxGpYYdcJVuEQbV3CnmF8ONfpQKM2n9jzSxIGG5kZNhhHY-p7nw/v2/culinary-tool-asset/guys1L+Yyer9kzI3sp/pb0CG1j2bhflZGFUZOoIf1YMmzMd/HaD8U/YhZI+EvjMM+6RmcSU0aUVNGx3wRqN5pFrVEZen10plOIrvSgZsW5PfPJqh0C4VivT7UNmnfW55T/uFqZPkKQ0Grb6fnxefMAqKyloDDpp/UYcRG4Uq9D+uaMwwbgeWu94ExJkiy1+S?tr=q-40,c-at_max,w-720,h-1280&amp;_src=imagekit",Dago,"Jl. Dago Pakar Utara, Sekejolang, Bandung",11.00 - 18.00,Ayam Goreng: Mie: Mie Goreng: Roti Bakar,Asia: Indonesia,?,Bawa Pulang: Parkir: Wifi: Area Merokok
72,Skyline Best View Resto,"https://ik.imagekit.io/tvlk/cul-asset/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/tvlk-prod-cul-assets/culinary/asset/REST_sky-960x720-FIT_AND_TRIM-4c2ac62551f27decc414f23c13cc8092.jpeg?tr=q-40,c-at_max,w-1080,h-1920&amp;_src=imagekit",Dago,"Jl. Bukit Pakar Timur No. 108, Bandung",10.00 - 23.00,Iga: Steak: Pasta: Nasi,Eropa: Asia: Barat: Indonesia,?,Parkir: Wifi: Reservasi: Kartu Kredit: Kursi Bayi: Area Merokok
73,Grind Joe Coffee,"https://ik.imagekit.io/tvlk/cul-asset/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/tvlk-prod-cul-assets/culinary/asset/REST_IMG-960x720-FIT_AND_TRIM-c84bf69fae7f1f3af4d8a4e70fd8234e.jpeg?tr=q-40,c-at_max,w-1080,h-1920&amp;_src=imagekit",Dago,"Hotel Moxy, Jl. Ir. H.Djuanda No. 69, Bandung",10.00 - 22.00,Camilan: Kopi: Teh,?,?,Bawa Pulang: Parkir: Reservasi: Kartu Kredit
74,Gyu Kaku,"https://ik.imagekit.io/tvlk/cul-asset/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/tvlk-prod-cul-assets/culinary/asset/REST_201-937x720-FIT_AND_TRIM-68db22f24831d1320333261c1a22448b.jpeg?tr=q-40,c-at_max,w-1080,h-1920&amp;_src=imagekit",Bandung Wetan,"Jl. Pangeran Kornel No. 7, Bandung",10.00 - 18.00,BBQ,Jepang,?,Wifi: Reservasi: Kartu Kredit
75,The Stone,"https://ik.imagekit.io/tvlk/cul-asset/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/tvlk-prod-cul-assets/culinary/asset/REST_25_-960x720-FIT_AND_TRIM-0cd558a1a6014fc4e736ee0a8146b5be.jpeg?tr=q-40,c-at_max,w-1080,h-1920&amp;_src=imagekit",Dago Atas,"Jl. Raya Ranca Kendal Luhur No. 5, Bandung",11.00 - 23.00,Iga: Ayam Goreng: Nasi Goreng: Steak: Ikan: Sup,Asia: Barat: Indonesia,?,Bawa Pulang: Parkir: Wifi: Kursi Roda: Area Merokok
76,Eat Boss,"https://ik.imagekit.io/tvlk/cul-asset/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/tvlk-prod-cul-assets/culinary/asset/REST_202-960x720-FIT_AND_TRIM-d73bb42859f406b97b041495326b74b3.jpeg?tr=q-40,c-at_max,w-1080,h-1920&amp;_src=imagekit",Dago,"Jl. Ir. H. Juanda No.72, Bandung",10.00 - 22.00,Nasi Goreng: Sate: Mac and Cheese,Barat: Indonesia,?,Bawa Pulang
77,Martabak Mertua,"https://ik.imagekit.io/tvlk/cul-asset/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/tvlk-prod-cul-assets/culinary/asset/REST_202-960x720-FIT_AND_TRIM-ed9bb498e429d5a0693eb6c106bd7e10.jpeg?tr=q-40,c-at_max,w-1080,h-1920&amp;_src=imagekit",Dipatiukur,"Jl. Dipati Ukur No. 84A, Bandung",15.00 - 22.00,Dessert: Martabak,?,?,Bawa Pulang
78,Rumah Miring,"https://ik.imagekit.io/tvlk/ugc-review/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/tvlk-prod-ugc-photo/REVIEW/3996733_REVIEW_1574236408719_e2550748505744d7?tr=q-40,c-at_max,w-720,h-1280&amp;_src=imagekit",Dago,"Jl. Dago Giri No. 119, Bandung",11.00 - 00.00,Pizza: Iga: Wings: Steak: Pasta,Italia,?,Bawa Pulang: Wifi: Kartu Kredit: Kursi Bayi: Kursi Roda: Area Merokok
79,Dago Panyawangan,"https://ik.imagekit.io/tvlk/cul-asset/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/tvlk-prod-cul-assets/culinary/asset/REST_202-927x720-FIT_AND_TRIM-02ade36ace6cb9b4b8961b7af0721e07.jpeg?tr=q-40,c-at_max,w-1080,h-1920&amp;_src=imagekit",Dago,"Jl. Ir. H. Juanda No 127, Bandung",10.00 - 23.00,Ayam Goreng: Nasi Goreng: Ikan: Sop Buntut,Sunda: Indonesia,?,Bawa Pulang: Parkir: Wifi: Reservasi: Kartu Kredit
80,Hanamasa,"https://ik.imagekit.io/tvlk/cul-asset/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/tvlk-prod-cul-assets/culinary/asset/REST_han-720x720-FIT_AND_TRIM-807248fe5b118a398edc22c5e2db6974.jpeg?tr=q-40,c-at_max,w-720,h-1280&amp;_src=imagekit",Dago,"Jl. Ir. H. Juanda No. 48, Bandung",11.00 - 22.00,Teppanyaki: Daging: Shabu Shabu: Yakiniku,Cina,?,Bawa Pulang: Parkir: Wifi: Reservasi: Kartu Kredit: Kursi Bayi: Kursi Roda: Area Merokok
81,Boda Barn,"https://ik.imagekit.io/tvlk/cul-asset/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/tvlk-prod-cul-assets/culinary/asset/REST_202-960x720-FIT_AND_TRIM-cb4b222a2c1e3eb0928428569301a970.jpeg?tr=q-40,c-at_max,w-1080,h-1920&amp;_src=imagekit",Lembang,"Jl. Pagermaneuh No. 75, Pagerwangi, Lembang, Bandung Barat",10.00 - 21.00,Soto: Bebek: Ayam Goreng: Nasi Goreng: Mie,Indonesia,Ya,Parkir: Reservasi: Area Merokok
82,Sapu Lidi,"https://ik.imagekit.io/tvlk/cul-asset/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/tvlk-prod-cul-assets/culinary/asset/REST_201-960x720-FIT_AND_TRIM-777e26bbd07f58a52df1c4bb1b79c247.jpeg?tr=q-40,c-at_max,w-1080,h-1920&amp;_src=imagekit",Cihampelas,"Jl. Cihampelas 7, Bandung",09.00 - 22.00,Bebek: Ayam Goreng: Rica rica,Indonesia,?,Bawa Pulang: Parkir: Wifi: Reservasi: Kartu Kredit: Kursi Bayi: Area Merokok
83,Sapulidi Cafe & Resort,"https://ik.imagekit.io/tvlk/cul-asset/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/tvlk-prod-cul-assets/culinary/asset/REST_202-960x720-FIT_AND_TRIM-d101de5c9d940c1829b286a35067552f.jpeg?tr=q-40,c-at_max,w-1080,h-1920&amp;_src=imagekit",Graha Puspa,"Graha Puspa, Jl. Puspa Raya, Cihideung, Parongpong, Bandung Barat",10.00 - 22.00,Ayam Goreng: Sate: Ikan Bakar: Gado Gado: Ikan Goreng,Sunda,Ya,Parkir: Wifi: Reservasi: Area Merokok
84,Liwet Asep Strawberry,"https://ik.imagekit.io/tvlk/cul-asset/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/tvlk-prod-cul-assets/culinary/asset/REST_202-960x720-FIT_AND_TRIM-6370100ce3200083fab26c69fb812e80.jpeg?tr=q-40,c-at_max,w-1080,h-1920&amp;_src=imagekit",Lembang,"Jl. Raya Lembang - Bandung No. 177, Jayagiri, Lembang, Bandung Barat",07.00 - 22.00,Ayam Goreng: Jus: Ikan Goreng,Sunda,Ya,Parkir
85,Imah Seniman,"https://ik.imagekit.io/tvlk/ugc-review/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/tvlk-prod-ugc-photo/REVIEW/1910241_REVIEW_1576114251895_fe8cc7d46644e6fe?tr=q-40,c-at_max,w-720,h-1280&amp;_src=imagekit",Lembang,"Imah Seniman, Jl. Kolonel Masturi No. 8, Gudangkahuripan, Lembang, Bandung Barat",07.00 - 21.00,Ayam Goreng: Nasi Goreng: Ikan,Asia: Sunda,Ya,Parkir: Wifi: Reservasi: Area Merokok
86,Saung Bakakak Lembang Khas Nusantara,"https://ik.imagekit.io/tvlk/cul-asset/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/tvlk-prod-cul-assets/culinary/asset/REST_Wha-960x720-FIT_AND_TRIM-8427c351065355b9aff5dd4426b0a6b5.jpeg?tr=q-40,c-at_max,w-1080,h-1920&amp;_src=imagekit",Lembang,"Jl. Raya Maribaya No. 124, Langensari, Lembang, Bandung Barat",08.00 - 19.00,Ayam Bakar: Ayam Goreng: Ikan Goreng: Nasi Goreng,Indonesia,?,Bawa Pulang: Parkir: Wifi: Reservasi: Kursi Bayi: Area Merokok
87,The Barn,"https://ik.imagekit.io/tvlk/cul-asset/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/tvlk-prod-cul-assets/culinary/asset/REST_IMG-720x1018-FIT_AND_TRIM-1d69b1e85764514fa3303fba091591cf.jpeg?tr=q-40,c-at_max,w-720,h-1280&amp;_src=imagekit",Lembang,"Jl. Trinity Kp Daun Blok I No 31 Km 4, Bandung",09.00 - 21.00,Kue: Kopi: Dessert: Teh,?,?,Bawa Pulang
88,Burgundy Dine & Wine,"https://ik.imagekit.io/tvlk/cul-asset/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/tvlk-prod-cul-assets/culinary/asset/RESTAURANTS_PHOTO_11.jpg-1080x720-FIT_AND_TRIM-a33dc5bf27861dd7c7ca3d53a72ab412.jpeg?tr=q-40,c-at_max,w-1080,h-1920&amp;_src=imagekit",Lembang,"Jl. Raya Maribaya No. 163, Langensari, Lembang, Bandung Barat",10.00 - 22.00,Wine: Burger: Steak: Pasta: Kentang Goreng,Barat,?,Bawa Pulang: Parkir: Wifi: Reservasi: Kartu Kredit: Kursi Bayi: Kursi Roda: Area Merokok
89,Sindang Reret,"https://ik.imagekit.io/tvlk/cul-asset/C8Kj5-dCnE75BMxGpYYdcJVuEQbV3CnmF8ONfpQKM2n9jzSxIGG5kZNhhHY-p7nw/v2/culinary-asset/guys1L+Yyer9kzI3sp/pb0CG1j2bhflZGFUZOoIf1YMmzMd/HaD8U/YhZI+EvjMM+6RmcSU0aUVNGx3wRqN5pLy/p2hMkNf211rPvdwuBbXlopYfDg3F1r+6Ylzyzji19DiSL7vFogMJiyAO4eaKTHe+zt4ruHxLfl1+Z7BserCuaMwwbgeWu94ExJkiy1+S?tr=q-40,c-at_max,w-1080,h-1920&amp;_src=imagekit",Lembang,"Jl. Raya Cikole KM . 22 , Cikole, Lembang, Bandung Barat",10.00 - 22.00,Bebek: Ayam Goreng: Gado Gado: Ikan Goreng: Cumi,Sunda,Ya,Parkir: Wifi: Reservasi: Area Merokok
90,Sei Lelebo,"https://ik.imagekit.io/tvlk/cul-asset/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/tvlk-prod-cul-assets/culinary/asset/REST_202-960x720-FIT_AND_TRIM-1d0b776f5cfb1fc0afc64883952003cd.jpeg?tr=q-40,c-at_max,w-1080,h-1920&amp;_src=imagekit",Lembang,"Jl. Punclut No. 234, Ciumbuleuit, Cidadap, Bandung",09.00 - 22.00,Se'i: Babi: Bir,Indonesia,Tidak,Wifi: Reservasi: Area Merokok
