Id,Nama,Gambar,Lokasi,Alamat,Operasional,Makanan,Masakan,Halal,Fasilitas
11,Bebek Asap Balcon,"https://ik.imagekit.io/tvlk/cul-asset/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/tvlk-prod-cul-assets/culinary/asset/REST_534-720x720-FIT_AND_TRIM-af8a8f1efb6d7d92cf0a8f62a75ec682.jpeg?tr=q-40,c-at_max,w-1080,h-1920&amp;_src=imagekit",Buah Batu,"Jl. Lodaya No. 19, Bandung",10.30 - 21.30,Bebek: Ayam Goreng: Ayam Geprek: Ikan: Nasi,Indonesia,?,Bawa Pulang: Parkir: Reservasi
12,Makmur Jaya Coffee Roaster,"https://ik.imagekit.io/tvlk/cul-asset/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/tvlk-prod-cul-assets/culinary/asset/REST_Wha-480x720-FIT_AND_TRIM-f91e61ba32cfbd242e8fd79927e12970.jpeg?tr=q-40,c-at_max,w-1080,h-1920&amp;_src=imagekit",Buah Batu,"Jl. Lengkong Besar No.62, Bandung",07.30 - 23.00,Rice Bowl: Kentang Goreng: Kopi: Teh,Indonesia,?,Bawa Pulang: Parkir: Wifi: Kartu Kredit 
13,X.O Suki,"https://ik.imagekit.io/tvlk/cul-asset/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/tvlk-prod-cul-assets/culinary/asset/REST_IMG-960x720-FIT_AND_TRIM-0d036c77d9986be841394e46aae4be7c.jpeg?tr=q-40,c-at_max,w-1080,h-1920&amp;_src=imagekit",Trans Studio Mall,"Trans Studio Mall Bandung, Lantai Ground, Jl. Jenderal Gatot Subroto No.289, Cibangkong, Batununggal, Bandung",10.00 - 21.30,Bebek: Sukiyaki: Daging: Ikan,Asia: Jepang,?,Bawa Pulang: Wifi: Kartu Kredit: Kursi Bayi: Kursi Roda: Area Merokok
14,Raffel's Sandwich,"https://ik.imagekit.io/tvlk/cul-asset/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/tvlk-prod-cul-assets/culinary/asset/REST_zra-725x720-FIT_AND_TRIM-94bda506ca538b355acd6fa322ec1e27.png?tr=q-40,c-at_max,w-1080,h-1920&amp;_src=imagekit",Trans Studio Mall,"Trans Studio Mall, Lantai 2, Jl. Gatot Subroto No.289, Bandung",10.00 - 22.00,Burger: Sandwich: Kentang Goreng,Barat,?,Bawa Pulang: Kartu Kredit
15,Wingz O Wingz,"https://ik.imagekit.io/tvlk/cul-asset/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/tvlk-prod-cul-assets/culinary/asset/REST_men-720x720-FIT_AND_TRIM-56a7aec0910958cbed6a3101cf318e8c.jpeg?tr=q-40,c-at_max,w-720,h-1280&amp;_src=imagekit",BKR,"Jl. BKR No 93, Bandung",10.00 - 23.00,Wings: Kentang Goreng,Barat,?,Bawa Pulang: Parkir
16,Warung Nasi ibu Imas,"https://ik.imagekit.io/tvlk/cul-asset/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/tvlk-prod-cul-assets/culinary/asset/REST_IMG-960x720-FIT_AND_TRIM-69e939e185c2faa636de319624e2b241.jpeg?tr=q-40,c-at_max,w-1080,h-1920&amp;_src=imagekit",Balong Gede 67,"Jl. Balong Gede No. 67, Bandung",08.00 - 19.00,Ayam Goreng: Karedok: Ikan: Nasi,Sunda: Indonesia,?,Bawa Pulang: Parkir: Area Merokok
17,Domino's Pizza,"https://ik.imagekit.io/tvlk/cul-asset/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/tvlk-prod-cul-assets/culinary/asset/REST_z.j-720x720-FIT_AND_TRIM-f740623a386f31c5c3a97db528135261.jpeg?tr=q-40,c-at_max,w-720,h-1280&amp;_src=imagekit",Buah Batu,"Jl. Buah Batu No.163, Bandung",10.00 - 23.00,Pizza: Pasta,Barat,Ya,Bawa Pulang: Wifi: Kartu Kredit
18,Ngopi Doeloe,"https://ik.imagekit.io/tvlk/cul-asset/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/tvlk-prod-cul-assets/culinary/asset/REST_201-1046x720-FIT_AND_TRIM-1626b670596d29ac400cacb56a009cf4.jpeg?tr=q-40,c-at_max,w-1080,h-1920&amp;_src=imagekit",Burangrang,"Jl. Burangrang No. 27, Bandung",07.00 - 23.00,Burger: Tom Yum: Nasi Goreng: Pasta: Kopi: Teh,Asia: Italia,?,Bawa Pulang: Wifi: Kartu Kredit: Kursi Bayi: Kursi Roda
19,Sushi Tei,"https://ik.imagekit.io/tvlk/cul-asset/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/tvlk-prod-cul-assets/culinary/asset/REST_shu-720x720-FIT_AND_TRIM-6f9bfa67110b3e97d287a89d3420a1fb.jpeg?tr=q-40,c-at_max,w-720,h-1280&amp;_src=imagekit",Trans Studio Mall,"Trans Studio Mall, Lantai Ground, Jl. Gatot Subroto No. 289, Cibangkong, Batununggal, Bandung",10.00 - 22.00,Ramen: Sushi: Ikan: Katsu,Jepang,Ya,Bawa Pulang: Wifi
20,Chingu Korean Fan Cafe,"https://ik.imagekit.io/tvlk/cul-asset/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/tvlk-prod-cul-assets/culinary/asset/REST_Vou-720x720-FIT_AND_TRIM-ed345ebd100b99727c9bf331c67f237b.jpeg?tr=q-40,c-at_max,w-720,h-1280&amp;_src=imagekit",Buah Batu,"Jl. Buah Batu No.218, Bandung",10.00 - 22.00,Bibimbap: Bulgogi: Topokki,Korea,?,Bawa Pulang: Reservasi
21,Eatboss,"https://ik.imagekit.io/tvlk/cul-asset/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/tvlk-prod-cul-assets/culinary/asset/REST_617-720x720-FIT_AND_TRIM-fe9b9337bc13799020a7d62ce7c11650.jpeg?tr=q-40,c-at_max,w-720,h-1280&amp;_src=imagekit",Batununggal,"Jl. MTC Barat No.11, Sekejati, Kec. Buahbatu, Kota Bandung",10.00 - 22.00,Minuman: Kopi: Teh: Pizza: Pasta,Indonesia,?,Bawa Pulang: Reservasi
22,Rockstar Cafe Bar & Resto,"https://ik.imagekit.io/tvlk/cul-asset/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/tvlk-prod-cul-assets/culinary/asset/REST_201-960x720-FIT_AND_TRIM-7090a245855d0c5091ebd9fa7e4a6721.jpeg?tr=q-40,c-at_max,w-1080,h-1920&amp;_src=imagekit",Metro Indah Mall,"Metro Indah Mall, Jl. Soekarno Hatta no. 590, Bandung",10.00 - 00.00,Steak,Barat,?,Bawa Pulang: Reservasi: Kartu Kredit: Kursi Roda
23,Kopi Janji Jiwa,"https://ik.imagekit.io/tvlk/cul-asset/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/tvlk-prod-cul-assets/culinary/asset/REST_201-960x720-FIT_AND_TRIM-e3d253638d46519ecf3018f89e8796c1.jpeg?tr=q-40,c-at_max,w-1080,h-1920&amp;_src=imagekit",Bandung Kidul,"Jl. Batununggal Indah Raya No.130, Bandung",10.00 - 22.00,Minuman: Kopi: Teh,Indonesia,?,Bawa Pulang
24,Restoran Sederhana,"https://ik.imagekit.io/tvlk/cul-asset/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/tvlk-prod-cul-assets/culinary/asset/REST_673-720x720-FIT_AND_TRIM-6823de5c6c2bebffccbff8a2e7134af6.jpeg?tr=q-40,c-at_max,w-720,h-1280&amp;_src=imagekit",Batununggal,"Jl. Soekarno - Hatta No. 508, Bandung",10.00 - 00.00,Rendang: Ayam Goreng: Gulai: Sate Padang,Padang,?,Bawa Pulang: Reservasi: Kartu Kredit: Kursi Roda
25,Kopi Sedjati,"https://ik.imagekit.io/tvlk/cul-asset/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/tvlk-prod-cul-assets/culinary/asset/REST_201-960x720-FIT_AND_TRIM-b0471df4c389c33e328fceff106aa3d0.jpeg?tr=q-40,c-at_max,w-1080,h-1920&amp;_src=imagekit",Batununggal,"Jl. Margacinta No.91, Bandung",10.00 - 22.00,Minuman: Kopi: Teh,?,?,Bawa Pulang
26,Kedai Kopi Kulo,"https://ik.imagekit.io/tvlk/cul-asset/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/tvlk-prod-cul-assets/culinary/asset/REST_201-960x720-FIT_AND_TRIM-6bfcd43a46aa39eefbf7ac9290c12676.jpeg?tr=q-40,c-at_max,w-1080,h-1920&amp;_src=imagekit",Bandung Kidul,"Jl. Batununggal Indah IV No. 37, Bandung",09.00 - 19.00,Minuman: Kopi:Teh:Pizza:Pasta,Indonesia,?,Bawa Pulang
27,Baso Aci Akang MTC Bandung,"https://ik.imagekit.io/tvlk/cul-asset/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/tvlk-prod-cul-assets/culinary/asset/REST_201-720x895-FIT_AND_TRIM-3b3bcba17e396cdba3555ce31cceb208.jpeg?tr=q-40,c-at_max,w-720,h-1280&amp;_src=imagekit",Metro Indah Mall,"Komplek Metro Indah Mall, Jl. Soekarno Hatta Blok D No. 57, Sekejati, Kec. Buahbatu, Kota Bandung",10.00 - 22.00,Bakso,Indonesia,?,Bawa Pulang
28,Rumah Makan Cibiuk Bandung,"https://ik.imagekit.io/tvlk/ugc-review/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/tvlk-prod-ugc-photo/REVIEW/10580.ASSET.7308?tr=q-40,c-at_max,w-720,h-1280&amp;_src=imagekit",Batununggal,"Jl. Soekarno Hatta No.508, Batununggal, Bandung Kidul, Bandung",10.00 - 22.00,Ayam Goreng: Ikan Goreng: Nasi: Ayam Goreng Tepung,Indonesia,?,Parkir
29,McDonald's,"https://ik.imagekit.io/tvlk/cul-asset/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/tvlk-prod-cul-assets/culinary/asset/REST_IMG-960x720-FIT_AND_TRIM-a65c31c5794f4b5b889aa7c20950f9ee.jpeg?tr=q-40,c-at_max,w-1080,h-1920&amp;_src=imagekit",Soekarno Hatta Bandung,"Jl. Soekarno-Hatta No.611, Bandung",00.00 - 23.59,Burger: Kentang Goreng: Ayam Goreng Tepung,Barat,Ya,Bawa Pulang: Parkir: Wifi: Reservasi: Area Merokok
30,Bakso Malang H. Darmo,"https://ik.imagekit.io/tvlk/cul-asset/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/tvlk-prod-cul-assets/culinary/asset/REST_IMG-1113x720-FIT_AND_TRIM-01b79cead41340f68953a5cd021b6783.jpeg?tr=q-40,c-at_max,w-1080,h-1920&amp;_src=imagekit",Metro Indah Mall,"Metro Indah Mall, Lantai 2, Food Court, Jl. Soekarno Hatta No. 590, Bandung",10.00 - 22.00,Bakso,Indonesia,?,Bawa Pulang
31,J.CO Donuts & Coffee,"https://ik.imagekit.io/tvlk/cul-asset/guys1L+Yyer9kzI3sp-pb0CG1j2bhflZGFUZOoIf1YOBAm37kEUOKR41ieUZm7ZJ/tvlk-prod-cul-assets/culinary/asset/REST_300-1083x720-FIT_AND_TRIM-63b2f143465773cbc0a8164a47a0a513.jpeg?tr=q-40,c-at_max,w-1080,h-1920&amp;_src=imagekit",Metro Indah Mall,"Metro Indah Mall, Lantai .3, Jl. Soekarno Hatta No. 590, Bandung",10.00 - 22.00,Kue: Dessert: Kopi: Teh,Indonesia,?,Bawa Pulang: Kartu Kredit
