Nama Rumah Makan,Lokasi,Alamat lengkap,Jam Operasional,Makanan,Masakan,Halal?,Fasilitas
McDonald's,Soekarno Hatta Bandung,"Jl. Soekarno-Hatta No.611, Bandung",00.00 - 23.59,"Burger, Kentang Goreng, Ayam Goreng Tepung",Barat,Ya,"Bawa Pulang, Parkir, Wifi, Reservasi, Area Merokok"
Bakso Malang H. Darmo,Metro Indah Mall,"Metro Indah Mall, Lantai 2, Food Court, Jl. Soekarno Hatta No. 590, Bandung",10.00 - 22.00,Bakso,Indonesia,?,Bawa Pulang
J.CO Donuts & Coffee,Metro Indah Mall,"Metro Indah Mall, Lantai .3, Jl. Soekarno Hatta No. 590, Bandung",10.00 - 22.00,"Kue, Dessert, Kopi, Teh",Indonesia,?,"Bawa Pulang, Kartu Kredit"
Warung Nasi Bebek Sinjay,Batununggal,"Jl. Soekarno Hatta No. 618, Manjahlega, Rancasari, Bandung",09.00 - 22.00,"Bebek, Ayam Goreng, Nasi",Indonesia,?,Bawa Pulang
Daisuki,Metro Indah Mall,"Metro Indah Mall, Lantai .3, Jl. Soekarno Hatta no. 590, Bandung",10.00 - 22.00,"BBQ, Udon, Sukiyaki",Jepang,?,Bawa Pulang
Harliman Boulangerie Patisserie,Bandung Kidul,"Jl. Batununggal Indah Raya no. 164, Bandung",09.00 - 21.00,"Kue, Dessert",Barat,?,Bawa Pulang
Gu-I Korean Grill,Batununggal,"Jl. Batununggal Indah Raya No.425 - 42, Bandung",11.30 - 21.30,BBQ,Korea,?,Bawa Pulang
Tanduk Cau,Batununggal,"Foodlife Griya Batununggal, Jl. Batununggal Indah No. 1, Bandung",10.00 - 22.00,Camilan,Indonesia,?,Bawa Pulang
High School Coffee,Batununggal,"Jl. Batununggal Indah II No. 31A, Batununggal, Bandung Kidul, Bandung",09.00 - 21.00,"Minuman, Kopi, Teh",Indonesia,?,"Bawa Pulang, Wifi"
RM. Bakul Daun,Batununggal,"Jl. Terusan Buah Batu No. 195, Bandung",09.00 - 20.00,"Rendang, Ayam Goreng, Gulai",Padang,?,"Bawa Pulang, Area Merokok"
Ayam Bakar 27 & Sate Cilampeni,Metro Indah Mall,"Metro Indah Mall, Blok G No. 1, Jl. Soekarno Hatta No. 590, Bandung",10.00 - 22.00,"Soto, Ayam Goreng, Nasi Goreng",Indonesia,?,Bawa Pulang
X Crepes,Metro Indah Mall,"Metro Indah Mall, Lantai 2, Food Court, Jl. Soekarno Hatta No. 590, Bandung",10.00 - 22.00,Crepes,Barat,?,Bawa Pulang
Chicken University,Kiaracondong,"Jl. Kiaracondong No. 305, Kebun Kangkung, Kiaracondong, Bandung",11.00 - 21.00,"Ayam Goreng Tepung, Sup",Barat,?,"Bawa Pulang, Parkir, Wifi, Reservasi"
MBS Hotplate,Prama Toserba,"Prama Toserba, Lantai 2, Jl. Babakan Sari 1 No.119, Babakan Sari, Kiaracondong, Bandung",10.00 - 21.00,"Hotpot, Teppanyaki, Steak",Asia,?,"Bawa Pulang, Parkir"
Seafood Hotplate,Prama Toserba,"Prama Toserba, Lantai 2, Jl. Babakan Sari 1 No.119, Bandung",08.00 - 21.30,"Udang, Seafood",?,?,Bawa Pulang
Boba Brownsu D'3,Kiaracondong,"Jl. Babakan Sari 1, Babakan Sari, Kiaracondong, Bandung",10.00 - 22.00,"Minuman, Bubble Tea",?,?,"Bawa Pulang, Parkir"
Haus!,Babakan Sari,"Jl. Babakan Sari 1 No.8, Bandung",10.00 - 21.00,"Minuman, Kopi, Teh",?,?,Bawa Pulang
Donat Madu,Kiaracondong,"Jl. Kiaracondong No. 379A, Kebun Kangkung, Kiaracondong, Bandung",08.00 - 20.00,"Donat, Dessert",?,?,"Bawa Pulang, Parkir"
Rumah Makan Laksana,Kiaracondong,"Jl. Soekarno - Hatta No. 395, Bandung",10.00 - 22.00,"Soto, Ayam Goreng, Mie Goreng, Jajanan Pasar, Makanan Pedas",Sunda,?,"Bawa Pulang, Wifi, Reservasi, Kartu Kredit, Kursi Bayi, Kursi Roda, Area Merokok"
Amanda Brownies Kukus,Kiaracondong,"Jl. Terusan Jakarta No. 6, Babakan Surabaya, Kiaracondong, Bandung",07.00 - 21.00,"Kue, Dessert",?,?,"Bawa Pulang, Parkir"
